field_name,category_name,is_ambiguous
آسیب‌شناسی,medical_basic,no
آسیب‌شناسی دامپزشکی,veterinary,no
آماد,other,yes
آمار,basic_sciences,no
آمار زیستی,basic_sciences,no
آموزش بهداشت و ارتقاء سلامت,medical_public,no
آموزش پرستاری,medical_nursing,no
آموزش پزشکی,medical_public,no
آموزش مهندسی,engineering,no
آناتومی و جنین‌شناسی دامپزشکی,veterinary,no
آناتومی و جنین‌شناسی مقایسه‌ای,medical_basic,no
آندیورولوژی,medical_clinical,no
آهنگسازی,arts_humanities,no
اپیدمیولوژی,medical_public,no
اتاق عمل,medical_nursing,no
اتولوژی و نورواتولوژی,medical_clinical,no
اختلالات کف لگن,other,yes
اخلاق پزشکی,medical_public,no
ادبیات نمایشی,arts_humanities,no
ارتباط تصویری,arts_humanities,no
ارتوپدی,medical_clinical,no
ارتوپدی کودکان,medical_clinical,no
ارزیابی فناوری سلامت (HTA),other,yes
ارگونومی,medical_public,no
اروانکولوژی,medical_clinical,no
استرابیسم,medical_clinical,no
استریوتاکسی,medical_clinical,no
اطلاعات,other,yes
اطلاعات استراتژیک,social_economics,no
اعضای مصنوعی و وسایل کمکی (ارتوز و پروتز),medical_rehab,no
اقتصاد بهداشت,medical_public,no
اقتصاد و مدیریت دارو,social_economics,no
الهیات,arts_humanities,no
الهیات و معارف اسلامی,arts_humanities,no
امداد و نجات,medical_nursing,no
امور فرهنگی,arts_humanities,no
انفورماتیک پزشکی,medical_public,no
انگل‌شناسی,medical_basic,no
انگل‌شناسی پزشکی,medical_basic,no
انگل‌شناسی دامپزشکی,veterinary,no
انکولوژی زنان,medical_clinical,no
اورولوژی اطفال,medical_clinical,no
اورولوژی ترمیمی,medical_clinical,no
اورولوژی زنان و زایمان,medical_clinical,no
اکولو پلاستیک,other,yes
اکولوژی انسانی,other,yes
اکوکاردیوگرافی,medical_imaging,no
ایران‌شناسی,arts_humanities,no
ایمنی و بهداشت در واحدهای صنفی,medical_public,no
ایمنی‌شناسی,medical_basic,no
ایمنی‌شناسی پزشکی,medical_basic,no
ایمنی، بهداشت و محیط زیست,agriculture_env,no
ایمونولوژی و آلرژی اطفال,medical_clinical,no
ایمونولوژی و آلرژی بالینی,medical_clinical,no
اینترونشنال کاردیولوژی,medical_clinical,no
اینترونشنال کاردیولوژی در کودکان و نوجوانان,medical_clinical,no
بازسازی پس از سانحه,other,yes
بازیگری,arts_humanities,no
باستان‌سنجی,arts_humanities,no
باستان‌شناسی,arts_humanities,no
بافت‌شناسی,medical_basic,no
بافت‌شناسی پزشکی,medical_basic,no
بافت‌شناسی مقایسه‌ای,medical_basic,no
بافت‌شناسی و جنین‌شناسی,medical_basic,no
باکتری‌شناسی,other,yes
باکتری‌شناسی پزشکی,other,yes
برنامه‌ریزی درسی,social_economics,no
برنامه‌ریزی شهری,social_economics,no
برنامه‌ریزی منطقه‌ای,social_economics,no
برنامه‌ریزی یادگیری الکترونیکی,social_economics,no
بهداشت,medical_public,no
بهداشت آبزیان,veterinary,no
بهداشت خوراک دام,veterinary,no
بهداشت روان,medical_public,no
بهداشت فراورده‌های دامی,veterinary,no
بهداشت محیط,medical_public,no
بهداشت مواد غذایی,medical_public,no
بهداشت مواد غذایی با منشأ دامی,veterinary,no
بهداشت و ایمنی مواد غذایی,medical_public,no
بهداشت و بازرسی گوشت,medical_public,no
بهداشت و بیماریهای آبزیان,veterinary,no
بهداشت و بیماریهای پرندگان,veterinary,no
بهداشت و بیماریهای دامهای کوچک,veterinary,no
بهداشت و بیماریهای طیور,veterinary,no
بهداشت و بیماریهای گاو,veterinary,no
بهداشت و کنترل مواد غذایی,medical_public,no
بهداشت و کنترل کیفی مواد غذایی,medical_public,no
بهداشتکار دهان و دندان,dentistry,no
